parent_commit,parent_test_file,current_commit,current_test_file,committer,author,committed_date,change_type,parent_prod_file,current_prod_file
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/utils/db/TestDBStoreBuilder.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/utils/db/TestDBStoreBuilder.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/common/src/main/java/org/apache/hadoop/utils/db/DBStoreBuilder.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/utils/db/TestRDBStore.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/utils/db/TestRDBStore.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/common/src/main/java/org/apache/hadoop/utils/db/RDBStore.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/utils/db/TestRDBTableStore.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/utils/db/TestRDBTableStore.java,Sunil G,Sunil G,1538736047,D,,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/TestChunkLayOutVersion.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/TestChunkLayOutVersion.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/impl/ChunkLayOutVersion.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/TestDatanodeLayOutVersion.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/TestDatanodeLayOutVersion.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/DataNodeLayoutVersion.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/TestDatanodeStateMachine.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/TestDatanodeStateMachine.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/statemachine/DatanodeStateMachine.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/TestKeyValueContainerData.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/TestKeyValueContainerData.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/keyvalue/KeyValueContainerData.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/helpers/TestDatanodeVersionFile.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/helpers/TestDatanodeVersionFile.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/helpers/DatanodeVersionFile.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/impl/TestContainerDataYaml.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/impl/TestContainerDataYaml.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/impl/ContainerDataYaml.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/impl/TestContainerSet.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/impl/TestContainerSet.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/impl/ContainerSet.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/impl/TestHddsDispatcher.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/impl/TestHddsDispatcher.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/impl/HddsDispatcher.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/interfaces/TestHandler.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/interfaces/TestHandler.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/interfaces/Handler.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/report/TestReportManager.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/report/TestReportManager.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/report/ReportManager.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/report/TestReportPublisher.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/report/TestReportPublisher.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/report/ReportPublisher.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/report/TestReportPublisherFactory.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/report/TestReportPublisherFactory.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/report/ReportPublisherFactory.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/states/endpoint/TestHeartbeatEndpointTask.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/common/states/endpoint/TestHeartbeatEndpointTask.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/states/endpoint/HeartbeatEndpointTask.java,
