"","1","1.1","1.5"
"Conditional.Test.Logic",0.107880479015782,0.108316523137945,0.11007621316836
"Exception.Catching.Throwing",0.107880479015782,0.106720177622383,0.10218827213512
"General.Fixture",0.107880479015782,0.108016411655138,0.108561648504163
"Mystery.Guest",0.107880479015782,0.108102722525417,0.108995724034866
"Lazy.Test",0.107880479015782,0.107196419379865,0.104498229666952
"Unknown.Test",0.107880479015782,0.107258015852505,0.104799674497122
"Magic.Number.Test",0.107880479015782,0.107340559328357,0.105204594938782
"Duplicate.Assert_removed",0.107880479015782,0.107849326725399,0.107724796635596
"Magic.Number.Test_removed",0.107880479015782,0.107865498814733,0.107805596295668
"EmptyTest_added",0.107880479015782,0.107847175893381,0.107714053770458
"Mystery.Guest_added",0.107880479015782,0.107905351348744,0.108004891094283
