"modelType","feature","OR","X","DF"
"groovy _BASE_PRODUCT","LOC",2.38335278982765,6.71503103041067,1
"groovy _BASE_PRODUCT","Duplicate.Assert",-9.3982587271454,7.20514163166105,1
