project,version,AR,CTL,CI,ET,ECT,GF,MG,PS,RA,SE,ST,EG,LT,DA,UT,IT,RO,MNT
kafka,7/1/2018,1542,356,14,2,1261,1056,41,2,16,52,10,1636,7466,307,505,34,56,742
kafka,1/1/2019,1692,398,16,2,1304,1136,47,7,13,57,11,1749,8131,332,515,38,59,810
karaf,1/1/2016,156,36,7,1,529,31,28,41,1,8,5,83,305,26,247,24,33,81
karaf,7/1/2016,167,34,7,1,541,31,28,42,1,8,7,73,302,28,250,24,34,88
karaf,1/1/2017,164,41,7,1,544,32,22,42,1,8,7,80,321,24,251,23,36,96
karaf,7/1/2017,194,44,7,1,584,36,31,39,1,8,7,115,408,30,240,25,43,103
karaf,1/1/2018,220,35,7,1,639,44,32,45,1,11,14,134,499,31,259,26,40,115
karaf,7/1/2018,221,35,7,1,642,42,32,48,1,12,16,138,511,31,260,26,40,117
karaf,1/1/2019,223,43,7,1,691,54,34,63,1,17,25,141,528,31,283,49,42,118
wicket,1/1/2016,941,113,70,6,735,288,11,7,32,245,0,697,3093,275,293,9,18,299
wicket,7/1/2016,920,108,71,0,742,290,11,7,32,245,0,693,3039,263,298,9,18,298
wicket,1/1/2017,935,110,76,0,758,297,11,7,32,246,0,711,3129,264,305,9,18,302
wicket,7/1/2017,942,114,71,0,770,305,11,8,32,246,2,716,3195,267,310,9,20,302
wicket,1/1/2018,942,114,71,0,769,309,11,8,32,249,2,718,3212,267,314,9,20,304
wicket,7/1/2018,953,92,71,0,780,288,11,8,32,252,2,704,3013,247,316,9,20,309
wicket,1/1/2019,184,29,68,0,138,7,6,1,5,35,2,129,598,46,37,416,4,58
zookeeper,1/1/2016,213,208,14,1,556,107,69,4,17,21,50,97,328,106,166,11,73,114
zookeeper,7/1/2016,225,214,14,1,572,111,70,4,17,21,52,110,395,110,166,12,74,120
zookeeper,1/1/2017,244,220,14,1,606,118,73,4,17,22,52,116,411,118,180,13,77,125
zookeeper,7/1/2017,251,222,14,1,625,119,77,4,17,21,52,121,418,120,183,13,80,130
zookeeper,1/1/2018,254,236,14,1,650,122,77,4,17,21,54,123,424,121,185,13,82,133
zookeeper,7/1/2018,274,242,15,1,689,140,83,4,17,22,54,136,489,127,186,13,91,143
zookeeper,1/1/2019,351,296,24,1,861,212,89,5,17,26,64,184,710,152,208,17,97,177
hadoop,1/1/2016,4057,2344,170,17,8953,2571,449,242,74,480,432,2062,9358,1499,1872,455,516,2351
hadoop,7/1/2016,4330,2546,189,23,9772,2803,492,258,74,550,465,2209,9791,1626,2036,488,555,2577
hadoop,1/1/2017,4689,2680,199,16,10423,2909,501,260,75,916,486,2287,10222,1773,2172,528,572,2816
hadoop,7/1/2017,4896,2742,209,16,10936,3118,531,271,76,941,508,2443,11028,1877,2266,566,596,2931
hadoop,1/1/2018,5481,2976,243,15,12035,3564,559,319,73,1000,540,2725,12369,2069,2465,601,645,3230
hadoop,7/1/2018,6043,3217,257,23,13112,3937,695,325,75,1108,579,3019,13684,2239,2676,641,773,3545
hadoop,1/1/2019,6527,3367,269,24,14014,4254,760,314,93,1118,607,3365,15116,2393,2865,680,841,3798
