,parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
474,92015567ceb9f31b62483faf1b0e3e19e299161d,shims/0.23/src/main/test/org/apache/hadoop/hive/shims/TestHadoop23Shims.java,12005fd17d12270081b5c047fa9d785267cefba2,shims/0.23/src/main/test/org/apache/hadoop/hive/shims/TestHadoop23Shims.java,Thejas M Nair,1498091324,M,/hdd/dj/testSmellDetection/gitRepo/hive/shims/0.23/src/main/java/org/apache/hadoop/hive/shims/Hadoop23Shims.java,/hdd/dj/testSmellDetection/gitRepo/hive/shims/0.23/src/main/java/org/apache/hadoop/hive/shims/Hadoop23Shims.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,30e36a28aa0d475f285a900d9adf3e8460b3e34e,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/TestVectorGroupByOperator.java,92fbe2567425ccfcbca9fdc512c2eb6b5cbb5601,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/TestVectorGroupByOperator.java,Matt McCline,1498174824,M,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorGroupByOperator.java,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorGroupByOperator.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,30e36a28aa0d475f285a900d9adf3e8460b3e34e,ql/src/test/org/apache/hadoop/hive/ql/optimizer/physical/TestVectorizer.java,92fbe2567425ccfcbca9fdc512c2eb6b5cbb5601,ql/src/test/org/apache/hadoop/hive/ql/optimizer/physical/TestVectorizer.java,Matt McCline,1498174824,M,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,92fbe2567425ccfcbca9fdc512c2eb6b5cbb5601,druid-handler/src/test/org/apache/hadoop/hive/druid/TestDruidSerDe.java,bc510f63de9d6baab3a5ad8a4bf4eed9c6fde8b1,druid-handler/src/test/org/apache/hadoop/hive/druid/TestDruidSerDe.java,Jesus Camacho Rodriguez,1498233030,M,/hdd/dj/testSmellDetection/gitRepo/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidSerDe.java,/hdd/dj/testSmellDetection/gitRepo/hive/druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidSerDe.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,bc510f63de9d6baab3a5ad8a4bf4eed9c6fde8b1,jdbc-handler/src/test/java/org/apache/hive/storage/jdbc/dao/GenericJdbcDatabaseAccessorTest.java,287113edb62bcf091651ba150dfe51ad76e12fde,jdbc-handler/src/test/java/org/apache/hive/storage/jdbc/dao/GenericJdbcDatabaseAccessorTest.java,Gunther Hagleitner,1498279654,M,/hdd/dj/testSmellDetection/gitRepo/hive/jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/dao/GenericJdbcDatabaseAccessor.java,/hdd/dj/testSmellDetection/gitRepo/hive/jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/dao/GenericJdbcDatabaseAccessor.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,055f6a0dee7ff0485773ad97f6bc11b62fd6f386,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/read/TestParquetFilterPredicate.java,cb0350ce56c2957f4985b1ae60537c20faf52475,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/read/TestParquetFilterPredicate.java,Yongzhi Chen,1498569587,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,5f276ddaf5d2a7d360a63c8c6e5232ed0c902290,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/TestParquetRowGroupFilter.java,9fcd1cc234ac33e76c2c18211dc428605756072b,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/TestParquetRowGroupFilter.java,Sergio Pena,1498685983,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,5f276ddaf5d2a7d360a63c8c6e5232ed0c902290,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java,9fcd1cc234ac33e76c2c18211dc428605756072b,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java,Sergio Pena,1498685983,M,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/io/parquet/timestamp/NanoTimeUtils.java,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/io/parquet/timestamp/NanoTimeUtils.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
482,9fcd1cc234ac33e76c2c18211dc428605756072b,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java,b13a6b41ba8fbe75de40db42f96297e1eacfa51c,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java,Sergio Pena,1498685991,M,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/io/parquet/timestamp/NanoTimeUtils.java,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/io/parquet/timestamp/NanoTimeUtils.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.0,0.0,-1.0,0.0,0.0,0.0,0.0
483,e31f24eb7f123529c19020ecd92c784a53f40c01,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/TestDataWritableWriter.java,d166f50fd6d3caa16b870806f4ea2f77d1621a24,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/TestDataWritableWriter.java,Sergio Pena,1498686427,M,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/io/parquet/write/DataWritableWriter.java,/hdd/dj/testSmellDetection/gitRepo/hive/ql/src/java/org/apache/hadoop/hive/ql/io/parquet/write/DataWritableWriter.java,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
