,parent_commit,parent_test_file,current_commit,current_test_file,committer,author,committed_date,change_type,parent_prod_file,current_prod_file,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
0,0996acde6c325667aa19ae0740eb6b40bf4a682a,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/test/java/org/apache/hadoop/yarn/conf/TestYarnConfigurationFields.java,cc59b5fb26ccf58dffcd8850fa12ec65250f127d,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/test/java/org/apache/hadoop/yarn/conf/TestYarnConfigurationFields.java,Carlo Curino,Carlo Curino,1502492281,M,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0996acde6c325667aa19ae0740eb6b40bf4a682a,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/test/java/org/apache/hadoop/yarn/server/router/webapp/BaseRouterWebServicesTest.java,cc59b5fb26ccf58dffcd8850fa12ec65250f127d,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/test/java/org/apache/hadoop/yarn/server/router/webapp/BaseRouterWebServicesTest.java,Carlo Curino,Carlo Curino,1502492281,M,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0996acde6c325667aa19ae0740eb6b40bf4a682a,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/test/java/org/apache/hadoop/yarn/server/router/webapp/TestFederationInterceptorREST.java,cc59b5fb26ccf58dffcd8850fa12ec65250f127d,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/test/java/org/apache/hadoop/yarn/server/router/webapp/TestFederationInterceptorREST.java,Carlo Curino,Carlo Curino,1502492281,A,,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/main/java/org/apache/hadoop/yarn/server/router/webapp/FederationInterceptorREST.java,7,0,0,0,0,12,12,0,0,0,0,0,0,5,17,2,0,0,0,0,0
3,0996acde6c325667aa19ae0740eb6b40bf4a682a,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/test/java/org/apache/hadoop/yarn/server/router/webapp/TestFederationInterceptorRESTRetry.java,cc59b5fb26ccf58dffcd8850fa12ec65250f127d,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/test/java/org/apache/hadoop/yarn/server/router/webapp/TestFederationInterceptorRESTRetry.java,Carlo Curino,Carlo Curino,1502492281,A,,,6,0,0,0,0,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,0996acde6c325667aa19ae0740eb6b40bf4a682a,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/test/java/org/apache/hadoop/yarn/server/router/webapp/TestableFederationInterceptorREST.java,cc59b5fb26ccf58dffcd8850fa12ec65250f127d,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/test/java/org/apache/hadoop/yarn/server/router/webapp/TestableFederationInterceptorREST.java,Carlo Curino,Carlo Curino,1502492281,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,cc59b5fb26ccf58dffcd8850fa12ec65250f127d,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/reservation/TestReservationInputValidator.java,28d97b79b69bb2be02d9320105e155eeed6f9e78,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/reservation/TestReservationInputValidator.java,Carlo Curino,Carlo Curino,1502495884,M,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/reservation/ReservationInputValidator.java,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/reservation/ReservationInputValidator.java,3,0,0,0,0,3,3,0,0,0,0,0,0,2,5,2,0,0,0,0,0
6,28d97b79b69bb2be02d9320105e155eeed6f9e78,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestPread.java,8b242f09a61a7536d2422546bfa6c2aaf1d57ed6,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestPread.java,John Zhuge,John Zhuge,1502505727,M,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,0,1,0
7,7d3cea232db4ce8249e9b078f1bfea00e0e4cadc,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestPread.java,ed4d6aa2c12959755ee5c8c5785e4f539e48ed32,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestPread.java,John Zhuge,John Zhuge,1502513723,M,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,0,1,0
8,b114f2488fc1a298d9c993af6ca3575249e6f4d3,hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/TestDirListingMetadata.java,e531ae251fac73f727f457039f3e16fb2a10069a,hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/TestDirListingMetadata.java,Steve Loughran,Steve Loughran,1502571551,M,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/s3guard/DirListingMetadata.java,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/s3guard/DirListingMetadata.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,b114f2488fc1a298d9c993af6ca3575249e6f4d3,hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/TestDynamoDBMetadataStore.java,e531ae251fac73f727f457039f3e16fb2a10069a,hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/s3guard/TestDynamoDBMetadataStore.java,Steve Loughran,Steve Loughran,1502571551,M,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/s3guard/DynamoDBMetadataStore.java,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/s3guard/DynamoDBMetadataStore.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
