App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
bookkeeper,0_3d18f34300653d07749105062e4b2f258c0b6e84_MockClockTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/0_3d18f34300653d07749105062e4b2f258c0b6e84_MockClockTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/0_3d18f34300653d07749105062e4b2f258c0b6e84_MockClock.java,2018-03-10_TO_2018-09-10/files/0_3d18f34300653d07749105062e4b2f258c0b6e84_MockClockTest.java,2018-03-10_TO_2018-09-10/files/0_3d18f34300653d07749105062e4b2f258c0b6e84_MockClock.java,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bookkeeper,1_3d18f34300653d07749105062e4b2f258c0b6e84_MockExecutorControllerTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/1_3d18f34300653d07749105062e4b2f258c0b6e84_MockExecutorControllerTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/1_3d18f34300653d07749105062e4b2f258c0b6e84_MockExecutorController.java,2018-03-10_TO_2018-09-10/files/1_3d18f34300653d07749105062e4b2f258c0b6e84_MockExecutorControllerTest.java,2018-03-10_TO_2018-09-10/files/1_3d18f34300653d07749105062e4b2f258c0b6e84_MockExecutorController.java,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,4,0,0,0,0
bookkeeper,2_91d79bf8c847f101ead21ae6f90e557d01b4d6d5_TestLedgerDirsManager.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10//files//2_91d79bf8c847f101ead21ae6f90e557d01b4d6d5_TestLedgerDirsManager.java,,2018-03-10_TO_2018-09-10//files//2_91d79bf8c847f101ead21ae6f90e557d01b4d6d5_TestLedgerDirsManager.java,,4,0,0,0,0,7,7,1,0,1,0,0,3,,,2,0,0,2,0,0
bookkeeper,2_3d18f34300653d07749105062e4b2f258c0b6e84_TestLedgerDirsManager.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/2_3d18f34300653d07749105062e4b2f258c0b6e84_TestLedgerDirsManager.java,,2018-03-10_TO_2018-09-10/files/2_3d18f34300653d07749105062e4b2f258c0b6e84_TestLedgerDirsManager.java,,4,0,0,0,0,7,7,1,0,1,0,0,1,,,2,0,0,2,0,0
bookkeeper,3_d0c9a9a2c7d6e8a606b1edaf71936b7fa1df95eb_AbstractZkLedgerManagerTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/3_d0c9a9a2c7d6e8a606b1edaf71936b7fa1df95eb_AbstractZkLedgerManagerTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/3_d0c9a9a2c7d6e8a606b1edaf71936b7fa1df95eb_AbstractZkLedgerManager.java,2018-03-10_TO_2018-09-10/files/3_d0c9a9a2c7d6e8a606b1edaf71936b7fa1df95eb_AbstractZkLedgerManagerTest.java,2018-03-10_TO_2018-09-10/files/3_d0c9a9a2c7d6e8a606b1edaf71936b7fa1df95eb_AbstractZkLedgerManager.java,18,1,0,0,0,26,0,0,0,0,0,0,0,1,21,6,7,3,0,4,0
bookkeeper,4_3d18f34300653d07749105062e4b2f258c0b6e84_TestCallbacks.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10//files//4_3d18f34300653d07749105062e4b2f258c0b6e84_TestCallbacks.java,,2018-03-10_TO_2018-09-10//files//4_3d18f34300653d07749105062e4b2f258c0b6e84_TestCallbacks.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,4_d0c9a9a2c7d6e8a606b1edaf71936b7fa1df95eb_TestCallbacks.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/4_d0c9a9a2c7d6e8a606b1edaf71936b7fa1df95eb_TestCallbacks.java,,2018-03-10_TO_2018-09-10/files/4_d0c9a9a2c7d6e8a606b1edaf71936b7fa1df95eb_TestCallbacks.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,5_b59dab59020e11ff2fa6fab342081a3f90c22b03_PendingAddOpTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/5_b59dab59020e11ff2fa6fab342081a3f90c22b03_PendingAddOpTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/5_b59dab59020e11ff2fa6fab342081a3f90c22b03_PendingAddOp.java,2018-03-10_TO_2018-09-10/files/5_b59dab59020e11ff2fa6fab342081a3f90c22b03_PendingAddOpTest.java,2018-03-10_TO_2018-09-10/files/5_b59dab59020e11ff2fa6fab342081a3f90c22b03_PendingAddOp.java,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
bookkeeper,6_88addff33a9a9474b069ac197d46d2d672ae988d_LedgerStorageCheckpointTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10/files/6_88addff33a9a9474b069ac197d46d2d672ae988d_LedgerStorageCheckpointTest.java,,2018-03-10_TO_2018-09-10/files/6_88addff33a9a9474b069ac197d46d2d672ae988d_LedgerStorageCheckpointTest.java,,0,5,0,0,0,11,6,5,0,0,0,0,0,,,0,6,0,5,5,0
bookkeeper,7_cefdeb6e3c6f4231ca8d09e93cc7f3dedd3a058f_SortedLedgerStorageCheckpointTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-10_TO_2018-09-10//files//7_cefdeb6e3c6f4231ca8d09e93cc7f3dedd3a058f_SortedLedgerStorageCheckpointTest.java,,2018-03-10_TO_2018-09-10//files//7_cefdeb6e3c6f4231ca8d09e93cc7f3dedd3a058f_SortedLedgerStorageCheckpointTest.java,,2,2,0,0,0,2,0,0,0,0,0,0,0,,,2,0,0,0,2,0
