App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
hive,7_b569b49e0596c52234fadc620c014844d0539f0e_TestHWIServer.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//7_b569b49e0596c52234fadc620c014844d0539f0e_TestHWIServer.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//7_b569b49e0596c52234fadc620c014844d0539f0e_HWIServer.java,2017-01-14_TO_2017-07-14//files//7_b569b49e0596c52234fadc620c014844d0539f0e_TestHWIServer.java,2017-01-14_TO_2017-07-14//files//7_b569b49e0596c52234fadc620c014844d0539f0e_HWIServer.java,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hive,8_92090823d5a31218d7bed639af719eb0bc53ca44_TestDummyTxnManager.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//8_92090823d5a31218d7bed639af719eb0bc53ca44_TestDummyTxnManager.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//8_92090823d5a31218d7bed639af719eb0bc53ca44_DummyTxnManager.java,2017-01-14_TO_2017-07-14//files//8_92090823d5a31218d7bed639af719eb0bc53ca44_TestDummyTxnManager.java,2017-01-14_TO_2017-07-14//files//8_92090823d5a31218d7bed639af719eb0bc53ca44_DummyTxnManager.java,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0
hive,8_dbc2dffcd212a023ed43a932a716a177e5b466ef_TestDummyTxnManager.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/8_dbc2dffcd212a023ed43a932a716a177e5b466ef_TestDummyTxnManager.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/8_dbc2dffcd212a023ed43a932a716a177e5b466ef_DummyTxnManager.java,2017-01-14_TO_2017-07-14/files/8_dbc2dffcd212a023ed43a932a716a177e5b466ef_TestDummyTxnManager.java,2017-01-14_TO_2017-07-14/files/8_dbc2dffcd212a023ed43a932a716a177e5b466ef_DummyTxnManager.java,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0
hive,9_ab7f6f31fb85e49fd41ad1400f6e3aaa59fc95a8_DruidStorageHandlerTest.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//9_ab7f6f31fb85e49fd41ad1400f6e3aaa59fc95a8_DruidStorageHandlerTest.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//9_ab7f6f31fb85e49fd41ad1400f6e3aaa59fc95a8_DruidStorageHandler.java,2017-01-14_TO_2017-07-14//files//9_ab7f6f31fb85e49fd41ad1400f6e3aaa59fc95a8_DruidStorageHandlerTest.java,2017-01-14_TO_2017-07-14//files//9_ab7f6f31fb85e49fd41ad1400f6e3aaa59fc95a8_DruidStorageHandler.java,3,0,0,0,0,4,4,0,0,0,0,0,0,2,5,0,0,0,0,0,0
hive,9_f708412bfb63b66745caff4e3a0549d3148342da_DruidStorageHandlerTest.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/9_f708412bfb63b66745caff4e3a0549d3148342da_DruidStorageHandlerTest.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/9_f708412bfb63b66745caff4e3a0549d3148342da_DruidStorageHandler.java,2017-01-14_TO_2017-07-14/files/9_f708412bfb63b66745caff4e3a0549d3148342da_DruidStorageHandlerTest.java,2017-01-14_TO_2017-07-14/files/9_f708412bfb63b66745caff4e3a0549d3148342da_DruidStorageHandler.java,3,0,0,0,0,4,4,0,0,0,0,0,0,2,5,0,0,0,0,0,0
hive,10_0e78addb362e344db300dbb7802893b3c0c0e354_TestCBORuleFiredOnlyOnce.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//10_0e78addb362e344db300dbb7802893b3c0c0e354_TestCBORuleFiredOnlyOnce.java,,2017-01-14_TO_2017-07-14//files//10_0e78addb362e344db300dbb7802893b3c0c0e354_TestCBORuleFiredOnlyOnce.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
hive,10_d9343f6d644696367615f5fd464dec2a6053ace7_TestCBORuleFiredOnlyOnce.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/10_d9343f6d644696367615f5fd464dec2a6053ace7_TestCBORuleFiredOnlyOnce.java,,2017-01-14_TO_2017-07-14/files/10_d9343f6d644696367615f5fd464dec2a6053ace7_TestCBORuleFiredOnlyOnce.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
hive,11_c53c638291fa0b955619fcf4a8fc26b77ca07801_TestTxnCommands.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//11_c53c638291fa0b955619fcf4a8fc26b77ca07801_TestTxnCommands.java,,2017-01-14_TO_2017-07-14//files//11_c53c638291fa0b955619fcf4a8fc26b77ca07801_TestTxnCommands.java,,2,3,0,0,0,23,23,0,0,0,0,0,0,,,5,4,2,1,5,0
hive,11_43858389bc4671b62d1f4f906c8cb48ec7721441_TestTxnCommands.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/11_43858389bc4671b62d1f4f906c8cb48ec7721441_TestTxnCommands.java,,2017-01-14_TO_2017-07-14/files/11_43858389bc4671b62d1f4f906c8cb48ec7721441_TestTxnCommands.java,,3,4,0,0,0,24,23,0,0,0,0,0,0,,,5,4,1,1,5,0
hive,12_c53c638291fa0b955619fcf4a8fc26b77ca07801_TestGenTezWork.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//12_c53c638291fa0b955619fcf4a8fc26b77ca07801_TestGenTezWork.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//12_c53c638291fa0b955619fcf4a8fc26b77ca07801_GenTezWork.java,2017-01-14_TO_2017-07-14//files//12_c53c638291fa0b955619fcf4a8fc26b77ca07801_TestGenTezWork.java,2017-01-14_TO_2017-07-14//files//12_c53c638291fa0b955619fcf4a8fc26b77ca07801_GenTezWork.java,2,0,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0
