App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
accumulo,5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplit.java,2016-08-10_TO_2017-02-10/files/5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,2016-08-10_TO_2017-02-10/files/5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplit.java,2,0,0,0,0,2,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0
accumulo,6_5ead817bc21919c40e5966d2d096ebceb96614b3_BatchInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//6_5ead817bc21919c40e5966d2d096ebceb96614b3_BatchInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//6_5ead817bc21919c40e5966d2d096ebceb96614b3_BatchInputSplit.java,2016-08-10_TO_2017-02-10//files//6_5ead817bc21919c40e5966d2d096ebceb96614b3_BatchInputSplitTest.java,2016-08-10_TO_2017-02-10//files//6_5ead817bc21919c40e5966d2d096ebceb96614b3_BatchInputSplit.java,2,0,0,0,0,2,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0
accumulo,6_4f2e64728292af22d07b1907b6ec2d432f8564e2_BatchInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/6_4f2e64728292af22d07b1907b6ec2d432f8564e2_BatchInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/6_4f2e64728292af22d07b1907b6ec2d432f8564e2_BatchInputSplit.java,2016-08-10_TO_2017-02-10/files/6_4f2e64728292af22d07b1907b6ec2d432f8564e2_BatchInputSplitTest.java,2016-08-10_TO_2017-02-10/files/6_4f2e64728292af22d07b1907b6ec2d432f8564e2_BatchInputSplit.java,2,0,0,0,0,2,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0
accumulo,7_5ead817bc21919c40e5966d2d096ebceb96614b3_ConfiguratorBaseTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//7_5ead817bc21919c40e5966d2d096ebceb96614b3_ConfiguratorBaseTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//7_5ead817bc21919c40e5966d2d096ebceb96614b3_ConfiguratorBase.java,2016-08-10_TO_2017-02-10//files//7_5ead817bc21919c40e5966d2d096ebceb96614b3_ConfiguratorBaseTest.java,2016-08-10_TO_2017-02-10//files//7_5ead817bc21919c40e5966d2d096ebceb96614b3_ConfiguratorBase.java,6,0,0,0,0,2,0,0,0,0,0,0,0,6,14,0,0,0,0,1,0
accumulo,7_4f2e64728292af22d07b1907b6ec2d432f8564e2_ConfiguratorBaseTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/7_4f2e64728292af22d07b1907b6ec2d432f8564e2_ConfiguratorBaseTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/7_4f2e64728292af22d07b1907b6ec2d432f8564e2_ConfiguratorBase.java,2016-08-10_TO_2017-02-10/files/7_4f2e64728292af22d07b1907b6ec2d432f8564e2_ConfiguratorBaseTest.java,2016-08-10_TO_2017-02-10/files/7_4f2e64728292af22d07b1907b6ec2d432f8564e2_ConfiguratorBase.java,7,0,0,0,0,2,0,0,0,0,0,0,0,7,17,0,0,0,0,1,0
accumulo,8_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockConnectorTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/8_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockConnectorTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/8_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockConnector.java,2016-08-10_TO_2017-02-10/files/8_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockConnectorTest.java,2016-08-10_TO_2017-02-10/files/8_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockConnector.java,7,5,0,0,0,10,0,0,0,2,2,0,0,10,28,2,1,0,0,4,0
accumulo,9_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockNamespacesTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/9_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockNamespacesTest.java,,2016-08-10_TO_2017-02-10/files/9_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockNamespacesTest.java,,5,0,0,0,0,6,0,0,1,0,0,0,0,,,1,0,0,0,0,0
accumulo,10_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockTableOperationsTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/10_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockTableOperationsTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/10_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockTableOperations.java,2016-08-10_TO_2017-02-10/files/10_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockTableOperationsTest.java,2016-08-10_TO_2017-02-10/files/10_4f2e64728292af22d07b1907b6ec2d432f8564e2_MockTableOperations.java,4,3,0,0,0,8,0,0,0,0,0,0,0,6,19,1,0,0,0,2,0
accumulo,11_4f2e64728292af22d07b1907b6ec2d432f8564e2_TestBatchScanner821.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/11_4f2e64728292af22d07b1907b6ec2d432f8564e2_TestBatchScanner821.java,,2016-08-10_TO_2017-02-10/files/11_4f2e64728292af22d07b1907b6ec2d432f8564e2_TestBatchScanner821.java,,0,1,0,0,0,1,0,0,0,0,1,0,0,,,0,0,0,0,0,0
accumulo,12_5ead817bc21919c40e5966d2d096ebceb96614b3_KeyExtentTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//12_5ead817bc21919c40e5966d2d096ebceb96614b3_KeyExtentTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//12_5ead817bc21919c40e5966d2d096ebceb96614b3_KeyExtent.java,2016-08-10_TO_2017-02-10//files//12_5ead817bc21919c40e5966d2d096ebceb96614b3_KeyExtentTest.java,2016-08-10_TO_2017-02-10//files//12_5ead817bc21919c40e5966d2d096ebceb96614b3_KeyExtent.java,5,1,0,0,0,1,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0
